Article Title;Section
MS 365 Login;Get Started
My Projects;Get Started
My Work;Get Started
My Profile;Get Started
Notifications;Get Started
General Settings;Organization Admin
Project Management;Organization Admin
User Management;Organization Admin
Contact Management;Organization Admin
Create MPG;Organization Admin
Access Settings;Guide for MPG Admin
MPG Ownership;Guide for MPG Admin
Subscription Ownership;Guide for MPG Admin
Create Project;Guide for MPG Admin
Overview;Project Settings
General Settings;Project Settings
Pricing Plan;Project Settings
Tags and Objects;Project Settings
Importance;Project Settings
Tasks Settings;Project Settings
Decision Settings;Project Settings
Maintenance & Templates;Team Management
Team Structure;Team Management
Manage Positions;Team Management
Assign Users;Team Management
Roles & Permissions;Team Management
Decision Editor;Managing Decisions
Decision Maker;Managing Decisions
Decision Workflow;Managing Decisions
Create Decision;Managing Decisions
Dependencies;Managing Decisions
Funnels;Managing Decisions
Decision Details Header;Managing Decisions
Edit Decision Details;Managing Decisions
Task Owner;Managing Tasks
Task Assignee;Managing Tasks
Task Workflow;Managing Tasks
Create Task;Managing Tasks
Dependencies;Managing Tasks
Funnels;Managing Tasks
Task Details Header;Managing Tasks
Edit Task Details;Managing Tasks
Navigation;Visual Planning
Settings;Visual Planning
Upload Images;Image Analytics
Funnels;Image Analytics
Bulk Editing;Image Analytics
Image Editing;Image Analytics
Customize Dashboard;Project Dashboard
Configure & Use Widgets;Project Dashboard
Delivery Package;Delivery Plan
Create Delivery Package;Delivery Plan
Entry Types;Delivery Plan
Create Entry Type;Delivery Plan
Create Entry;Delivery Plan
QA Stages;Delivery Plan
Create QA Stage;Delivery Plan
Publish Entry;Delivery Plan
Funnels;Delivery Plan
Overview;File Distribution
Funnels;File Distribution
Download Revisions;File Distribution
Request New Revision;File Distribution
Beginner Guides;Guides & Support
Give Feedback;Guides & Support
Request Support;Guides & Support
Policies;Guides & Support
